Model,Version,Tag,Step,Value,Wall Time
deeplabv3plus_resnet34,version_0,test_per_image_iou,47300,0.5808180570602417,1737291438.088829
deeplabv3plus_resnet34,version_0,test_dataset_iou,47300,0.5416871309280396,1737291438.0888345
deeplabv3plus_resnet34,version_0,test_accuracy,47300,0.8609580397605896,1737291438.0888383
deeplabv3plus_resnet34,version_0,test_inaccuracy,47300,0.13904191553592682,1737291438.088842
deeplabv3plus_resnet34,version_0,test_precision,47300,0.6098860502243042,1737291438.088845
deeplabv3plus_resnet34,version_0,test_sensitivity,47300,0.9608607888221741,1737291438.0888484
deeplabv3_resnet34,version_1,test_loss_epoch,47300,0.3080334961414337,1737278033.271675
deeplabv3_resnet34,version_1,test_per_image_iou,47300,0.5421159863471985,1737278033.2716906
deeplabv3_resnet34,version_1,test_dataset_iou,47300,0.5114695429801941,1737278033.271696
deeplabv3_resnet34,version_1,test_accuracy,47300,0.8485233783721924,1737278033.2717004
deeplabv3_resnet34,version_1,test_inaccuracy,47300,0.15147657692432404,1737278033.271704
deeplabv3_resnet34,version_1,test_precision,47300,0.590976357460022,1737278033.2717073
deeplabv3_resnet34,version_1,test_sensitivity,47300,0.9278969168663025,1737278033.2717109
manet_resnet34,version_0,test_loss_epoch,47300,0.2804834842681885,1737347275.585638
manet_resnet34,version_0,test_per_image_iou,47300,0.5840598940849304,1737347275.5856514
manet_resnet34,version_0,test_dataset_iou,47300,0.5377700328826904,1737347275.5856566
manet_resnet34,version_0,test_accuracy,47300,0.8588798642158508,1737347275.5856607
manet_resnet34,version_0,test_inaccuracy,47300,0.14112012088298798,1737347275.585664
manet_resnet34,version_0,test_precision,47300,0.6202866435050964,1737347275.5856671
manet_resnet34,version_0,test_sensitivity,47300,0.9590041637420654,1737347275.5856702
unet_resnet34,version_0,test_loss_epoch,47300,0.2633322775363922,1737093500.866745
unet_resnet34,version_0,test_per_image_iou,47300,0.609160304069519,1737093500.8667572
unet_resnet34,version_0,test_dataset_iou,47300,0.5600854754447937,1737093500.8667624
unet_resnet34,version_0,test_accuracy,47300,0.869860053062439,1737093500.8667667
unet_resnet34,version_0,test_inaccuracy,47300,0.13013993203639984,1737093500.8667707
unet_resnet34,version_0,test_precision,47300,0.6345747113227844,1737093500.866774
unet_resnet34,version_0,test_sensitivity,47300,0.9678259491920471,1737093500.8667772
pspnet_resnet34,version_0,test_loss_epoch,47300,0.2987886071205139,1737164822.4320393
